"","V1","V2"
"8576",1584562320,-1.79669443612712
"8577",1584562680,-1.79669231282557
"8578",1584563040,-1.79669018952402
"8579",1584563400,-1.79668806622246
"8580",1584563760,-1.79668594292091
"8581",1584564120,-1.79668381961936
"8582",1584564480,-1.79668169635408
"8583",1584564840,-1.7966795730888
"8584",1584565200,-1.79667744985979
"8585",1584565560,-1.79667532663078
"8586",1584565920,-1.79667320340178
"8587",1584566280,-1.79667108017277
"8588",1584566640,-1.79666895694377
"8589",1584567000,-1.79666683371476
"8590",1584567360,-1.79666471048575
"8591",1584567720,-1.79666258725675
"8592",1584568080,-1.79666046402774
"8593",1584568440,-1.79665834079874
"8594",1584568800,-1.79665621756973
"8595",1584569160,-1.79665409434072
"8596",1584569520,-1.79665197111172
"8597",1584569880,-1.79664984788271
"8598",1584570240,-1.7966477246537
"8599",1584570600,-1.7966456014247
"8600",1584570960,-1.79664347819569
"8601",1584571320,-1.79664135496669
"8602",1584571680,-1.79663923173768
"8603",1584572040,-1.79663710850867
"8604",1584572400,-1.79663498527967
"8605",1584572760,-1.79663286205066
"8606",1584573120,-1.79663073882166
"8607",1584573480,-1.79662861559265
"8608",1584573840,-1.79662649236364
"8609",1584574200,-1.79662436913464
"8610",1584574560,-1.79662224590563
"8611",1584574920,-1.79662012267662
"8612",1584575280,-1.79661799944762
"8613",1584575640,-1.79661587621861
"8614",1584576000,-1.79661375298961
"8615",1584576360,-1.7966116297606
"8616",1584576720,-1.79660950653159
"8617",1584577080,-1.79660738330259
"8618",1584577440,-1.79660526007358
"8619",1584577800,-1.79660313684458
"8620",1584578160,-1.79660101361557
"8621",1584578880,-1.79659889038656
"8622",1584579240,-1.79659676715756
"8623",1584579600,-1.79659464392855
"8624",1584579960,-1.79659252069954
"8625",1584580320,-1.79659039747054
"8626",1584580680,-1.79658827424153
"8627",1584581040,-1.79658615101253
"8628",1584581400,-1.79658402778352
"8629",1584581760,-1.79658190455451
"8630",1584582120,-1.79657978132551
"8631",1584582480,-1.7965776580965
"8632",1584582840,-1.7965755348675
"8633",1584583200,-1.79657341163849
"8634",1584583560,-1.79657128840948
"8635",1584583920,-1.79656916518048
"8636",1584584280,-1.79656704195147
"8637",1584584640,-1.79656491872247
"8638",1584585000,-1.79656279549346
"8639",1584585360,-1.79656067226445
"8640",1584585720,-1.79655854903545
"8641",1584586080,-1.79655642580644
"8642",1584586440,-1.79655430257744
"8643",1584586800,-1.79655217934843
"8644",1584587160,-1.79655005611942
"8645",1584587520,-1.79654793289042
"8646",1584587880,-1.79654580966141
"8647",1584588240,-1.7965436864324
"8648",1584588600,-1.7965415632034
"8649",1584588960,-1.79653943997439
"8650",1584589320,-1.79653731674539
"8651",1584589680,-1.79653519351638
"8652",1584590040,-1.79653307028737
"8653",1584590400,-1.79653094705837
"8654",1584590760,-1.79652882382936
"8655",1584591120,-1.79652670060036
"8656",1584591480,-1.79652457737135
"8657",1584591840,-1.79652245414234
"8658",1584592200,-1.79652033091334
"8659",1584592560,-1.79651820768433
"8660",1584592920,-1.79651608445532
"8661",1584593280,-1.79651396122632
"8662",1584593640,-1.79651183799731
"8663",1584594000,-1.79650971476831
"8664",1584594360,-1.7965075915393
"8665",1584594720,-1.79650546831029
"8666",1584595080,-1.79650334508129
"8667",1584595440,-1.79650122185228
"8668",1584595800,-1.79649909862328
"8669",1584596160,-1.79649697539427
"8670",1584596520,-1.79649485216526
"8671",1584596880,-1.79649272893626
"8672",1584597240,-1.79649060570725
"8673",1584597600,-1.79648848247824
"8674",1584597960,-1.79648635924924
"8675",1584598320,-1.79648423602023
"8676",1584598680,-1.79648211279123
"8677",1584599040,-1.79647998956222
"8678",1584599400,-1.79647786633321
"8679",1584599760,-1.79647574310421
"8680",1584600120,-1.7964736198752
"8681",1584600480,-1.7964714966462
"8682",1584600840,-1.79646937341719
"8683",1584601200,-1.79646725018818
"8684",1584601560,-1.79646512695918
"8685",1584602280,-1.79646300373017
"8686",1584602640,-1.79646088050117
"8687",1584603000,-1.79645875727216
"8688",1584603360,-1.79645663404315
"8689",1584603720,-1.79645451081415
"8690",1584604080,-1.79645238758514
"8691",1584604440,-1.79645026435613
"8692",1584604800,-1.79644814112713
"8693",1584605160,-1.79644601789812
"8694",1584605520,-1.79644389466912
"8695",1584605880,-1.79644177144011
"8696",1584606240,-1.7964396482111
"8697",1584606600,-1.7964375249821
"8698",1584606960,-1.79643540175309
"8699",1584607320,-1.79643327852409
"8700",1584607680,-1.79643115529508
"8701",1584608040,-1.79642903206607
"8702",1584608400,-1.79642690883707
"8703",1584608760,-1.79642478560806
"8704",1584609120,-1.79642266237905
"8705",1584609480,-1.79642053915005
"8706",1584609840,-1.79641841592104
"8707",1584610200,-1.79641629269204
"8708",1584610560,-1.79641417973743
"8709",1584610920,-1.79641206681909
"8710",1584611280,-1.79640995390076
"8711",1584611640,-1.79640784098242
"8712",1584612000,-1.79640572806409
"8713",1584612360,-1.79640361514575
"8714",1584612720,-1.79640151250182
"8715",1584613080,-1.79639940985788
"8716",1584613440,-1.79639730721395
